ServiceDescriptor;ServiceDescriptor._implementationType;ServiceDescriptor._implementationInstance;ServiceDescriptor._implementationFactory;ServiceDescriptor.Lifetime;ServiceDescriptor.ServiceKey;ServiceDescriptor.ServiceType;ServiceDescriptor.ImplementationType;ServiceDescriptor.KeyedImplementationType;ServiceDescriptor.ImplementationInstance;ServiceDescriptor.KeyedImplementationInstance;ServiceDescriptor.ImplementationFactory;ServiceDescriptor.KeyedImplementationFactory;ServiceDescriptor.IsKeyedService
"ServiceType: Microsoft.AspNetCore.Components.Endpoints.DependencyInjection.EndpointRoutingStateProvider Lifetime: Scoped ImplementationType: Microsoft.AspNetCore.Components.Endpoints.DependencyInjection.EndpointRoutingStateProvider";Microsoft.AspNetCore.Components.Endpoints.DependencyInjection.EndpointRoutingStateProvider;"";"";Scoped;"";Microsoft.AspNetCore.Components.Endpoints.DependencyInjection.EndpointRoutingStateProvider;Microsoft.AspNetCore.Components.Endpoints.DependencyInjection.EndpointRoutingStateProvider;"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";False
"ServiceType: Microsoft.AspNetCore.Components.Endpoints.EndpointHtmlRenderer Lifetime: Scoped ImplementationType: Microsoft.AspNetCore.Components.Endpoints.EndpointHtmlRenderer";Microsoft.AspNetCore.Components.Endpoints.EndpointHtmlRenderer;"";"";Scoped;"";Microsoft.AspNetCore.Components.Endpoints.EndpointHtmlRenderer;Microsoft.AspNetCore.Components.Endpoints.EndpointHtmlRenderer;"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";False
"ServiceType: Microsoft.AspNetCore.Components.Endpoints.HotReloadService Lifetime: Singleton ImplementationType: Microsoft.AspNetCore.Components.Endpoints.HotReloadService";Microsoft.AspNetCore.Components.Endpoints.HotReloadService;"";"";Singleton;"";Microsoft.AspNetCore.Components.Endpoints.HotReloadService;Microsoft.AspNetCore.Components.Endpoints.HotReloadService;"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";False
"ServiceType: Microsoft.AspNetCore.Components.Endpoints.HttpContextFormDataProvider Lifetime: Scoped ImplementationType: Microsoft.AspNetCore.Components.Endpoints.HttpContextFormDataProvider";Microsoft.AspNetCore.Components.Endpoints.HttpContextFormDataProvider;"";"";Scoped;"";Microsoft.AspNetCore.Components.Endpoints.HttpContextFormDataProvider;Microsoft.AspNetCore.Components.Endpoints.HttpContextFormDataProvider;"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";False
"ServiceType: Microsoft.AspNetCore.Components.Endpoints.IComponentPrerenderer Lifetime: Scoped ImplementationFactory: Microsoft.AspNetCore.Components.Endpoints.IComponentPrerenderer <AddRazorComponents>b__0_1(System.IServiceProvider)";"";"";System.Func`2[System.IServiceProvider,Microsoft.AspNetCore.Components.Endpoints.IComponentPrerenderer];Scoped;"";Microsoft.AspNetCore.Components.Endpoints.IComponentPrerenderer;"";"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";System.Func`2[System.IServiceProvider,Microsoft.AspNetCore.Components.Endpoints.IComponentPrerenderer];"Exception has been thrown by the target of an invocation.";False
"ServiceType: Microsoft.AspNetCore.Components.Endpoints.IRazorComponentEndpointInvoker Lifetime: Scoped ImplementationType: Microsoft.AspNetCore.Components.Endpoints.RazorComponentEndpointInvoker";Microsoft.AspNetCore.Components.Endpoints.RazorComponentEndpointInvoker;"";"";Scoped;"";Microsoft.AspNetCore.Components.Endpoints.IRazorComponentEndpointInvoker;Microsoft.AspNetCore.Components.Endpoints.RazorComponentEndpointInvoker;"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";False
"ServiceType: Microsoft.AspNetCore.Components.Endpoints.RazorComponentEndpointFactory Lifetime: Singleton ImplementationType: Microsoft.AspNetCore.Components.Endpoints.RazorComponentEndpointFactory";Microsoft.AspNetCore.Components.Endpoints.RazorComponentEndpointFactory;"";"";Singleton;"";Microsoft.AspNetCore.Components.Endpoints.RazorComponentEndpointFactory;Microsoft.AspNetCore.Components.Endpoints.RazorComponentEndpointFactory;"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";False
"ServiceType: Microsoft.AspNetCore.Components.Endpoints.RazorComponentsMarkerService Lifetime: Singleton ImplementationType: Microsoft.AspNetCore.Components.Endpoints.RazorComponentsMarkerService";Microsoft.AspNetCore.Components.Endpoints.RazorComponentsMarkerService;"";"";Singleton;"";Microsoft.AspNetCore.Components.Endpoints.RazorComponentsMarkerService;Microsoft.AspNetCore.Components.Endpoints.RazorComponentsMarkerService;"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";False
"ServiceType: Microsoft.AspNetCore.Components.Endpoints.ServerComponentSerializer Lifetime: Singleton ImplementationFactory: Microsoft.AspNetCore.Components.Endpoints.ServerComponentSerializer <AddRazorComponents>b__0_0(System.IServiceProvider)";"";"";System.Func`2[System.IServiceProvider,Microsoft.AspNetCore.Components.Endpoints.ServerComponentSerializer];Singleton;"";Microsoft.AspNetCore.Components.Endpoints.ServerComponentSerializer;"";"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";System.Func`2[System.IServiceProvider,Microsoft.AspNetCore.Components.Endpoints.ServerComponentSerializer];"Exception has been thrown by the target of an invocation.";False
"ServiceType: Microsoft.AspNetCore.Components.Endpoints.WebAssemblyComponentSerializer Lifetime: Singleton ImplementationType: Microsoft.AspNetCore.Components.Endpoints.WebAssemblyComponentSerializer";Microsoft.AspNetCore.Components.Endpoints.WebAssemblyComponentSerializer;"";"";Singleton;"";Microsoft.AspNetCore.Components.Endpoints.WebAssemblyComponentSerializer;Microsoft.AspNetCore.Components.Endpoints.WebAssemblyComponentSerializer;"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";"";"Exception has been thrown by the target of an invocation.";False
